Permission,CSAgents
- Menu : Member,TRUE
- Access : Check Two-factor Authentication,TRUE
- Access : View Member List,TRUE
- Access : Details Member,TRUE
- Access : Create Lock Member,TRUE
- Access : Update Lock Member,
- Access : Lock Member,TRUE
- Access : Lock Member Find Game Category,TRUE
- Access : Lock Member Find Game List,TRUE
- Access : Lock Member Find Provider,TRUE
- Access : Create Member,
- Access : Edit Member,TRUE
- Access : Delete Member,
- Access : Search Member,TRUE
- Access : Update Level Member,TRUE
- Access : Changepassword Member,TRUE
- Access : Create User Favorite,
- Access : Get Last 50 Trans Deposit,TRUE
- Access : Remove User Favorite,TRUE
- Access : Export Csv Last 50 Trans Deposit,TRUE
- Access : Find User Favorite,TRUE
- Access : Get Promotion In Last 50 Trans Deposit,TRUE
- Access : Find User Last Played,TRUE
- Access : Get Last 50 Trans Withdraw,TRUE
- Access : Export Csv Last 50 Trans Withdraw,TRUE
- Access : Get Bank Information Member,TRUE
- Access : Find User Favorite For Member,TRUE
- Access : Edit Bank Information Member,
- Access : Get Activity Log,TRUE
- Access : Export Csv Activity Log,TRUE
- Access : Get Login Log,TRUE
- Access : Export Csv Login Log,TRUE
- Access : Search Adjust Wallet User,TRUE
- Access : View Adjust Wallet User,TRUE
- Access : Details Adjust Wallet User,TRUE
- Access : Create Adjust Wallet User,TRUE
- Access : Sign Url For Upload,
- Access : Upload Slip,TRUE
- Access : Upload Slip,TRUE
- Access : Get User Detail For Adjust,TRUE
- Access : Patch Otp Verify,
- Access : Get Member Otp,
- Access : Find Member Otp,
- Access : Find Affiliate Team List,
- Access : Find Affiliate Team List Search,
- Access : Find Affiliate Team List Check Root,
- Access : Find Affiliate Team List Change,
- Access : Patch Affiliate Team List Change,
- Access : Find Blacklist Behavior,TRUE
- Access : Create Blacklist Behavior,
- Access : Search Adjust Point User,TRUE
- Access : Create Adjust Point User,
- Access : Find User Description,TRUE
- Access : View Adjust Point User,TRUE
- Access : Edit Member Account Pool Config,
- Access : Get Payment Pool Option,
- Access : Find Ip Member,TRUE
- Access : Find Activity Logs Ip,TRUE
- Access : Create Bet Limit User,
- Access : Check Member Account,TRUE
- Access : Check Member Wallet,TRUE
- Access : Get Wallet No Member,TRUE
- Access : Edit Wallet No Member,
- Access : Adjust Turn Deposit,
- Menu : Payment,
- Access : Add Payment Config Alphapay Api,
- Access : Add Payment Config Fpay Api,
- Access : Add Payment Config Qaicash Api,
- Access : Find Payment Config,
- Access : Add Payment Config Zpay Api,
- Access : Edit Payment Config Alphapay Api,
- Access : Edit Payment Config Fpay Api,
- Access : Edit Payment Config Qaicash Api,
- Access : Get Payment Config,
- Access : Edit Payment Config Zpay Api,
- Access : Add Payment Config,
- Access : Get Settlement Account Alphapay Bot,
- Access : Get Settlement Account Fpay Bot,
- Access : Get Settlement Account Qaicash Bot,
- Access : Get Settlement Account Zpay Bot,
- Access : Edit Payment Config,
- Access : Edit Settlement Account Alphapay Bot,
- Access : Edit Settlement Account Fpay Bot,
- Access : Edit Settlement Account Qaicash Bot,
- Access : Edit Settlement Account Zpay Bot,
- Access : Delete Payment Config,
- Access : Edit Payment Config Bank Sms,
- Access : Add Payment Config Bank Sms,
- Access : Add Payment Config Bay,
- Access : Edit Payment Config Bay,
- Access : Add Payment Config Scb,
- Access : Edit Payment Config Scb,
- Access : Add Payment Config Scb Otp,
- Access : Edit Payment Config Scb Otp,
- Access : Add Payment Config Truewallet,
- Access : Edit Payment Config Truewallet,
- Access : Edit Payment Config Truewallet,
- Access : Edit Payment Config Truewallet,
- Access : Create Payment Config Truewallet,
- Access : Add Payment Config Ktb,
- Access : Edit Payment Config Ktb,
- Access : Add Payment Config Capital Pay Api,
- Access : Add Payment Config Kbank Api,
- Access : Edit Payment Config Capital Pay Api,
- Access : Edit Payment Config Kbank Api,
- Access : Add Payment Config Mandiri Api,
- Access : Add Payment Config Vizpay Pay Api,
- Access : Edit Payment Config Mandiri Api,
- Access : Edit Payment Config Vizpay Pay Api,
- Access : Sync Payment Config Mandiri Api,
- Access : Add Payment Config Wealthpay Pay Api,
- Access : Add Payment Config Genkinpay Api,
- Access : Edit Payment Config Wealthpay Pay Api,
- Access : Edit Payment Config Genkinpay Api,
- Access : Add Payment Config Gsb Pay Api,
- Access : Add Payment Config Copopay Api,
- Access : Add Payment Config Direpay Api,
- Access : Edit Payment Config Gsb Pay Api,
- Access : Add Payment Config Hengpay Api,
- Access : Add Payment Config Lnwpay Api,
- Access : Add Payment Config Powerpay88 Api,
- Access : Add Payment Config S88pay Api,
- Access : Add Payment Config Sunnypay Api,
- Access : Add Payment Config Vipay Api,
- Access : Edit Payment Config Copopay Api,
- Access : Edit Payment Config Direpay Api,
- Access : Add Payment Config Gsb Otp,
- Access : Edit Payment Config Hengpay Api,
- Access : Edit Payment Config Lnwpay Api,
- Access : Edit Payment Config Powerpay88 Api,
- Access : Edit Payment Config S88pay Api,
- Access : Edit Payment Config Sunnypay Api,
- Access : Edit Payment Config Vipay Api,
- Access : Edit Payment Config Gsb Otp,
- Access : Get Check Payment Account,
- Access : Verify Face Payment Config Gsb,
- Access : Payment Get Balance,
- Access : Add Payment Config Jokpay Api,
- Access : Edit Payment Config Jokpay Api,
- Access : Payment Get Transfer Transaction,
- Access : Payment Craete Transfer Transaction,
- Access : Payment Confirm Transfer Transaction,
- Access : Payment Get Statement,
- Access : Find Payment Type Currency Default,
- Access : Add Payment Config Toppay Api,
- Access : Edit Payment Config Toppay Api,
- Access : Add Payment Config Superpay Api,
- Access : Add Payment Config Vaderpay Api,
- Access : Edit Payment Config Superpay Api,
- Access : Edit Payment Config Vaderpay Api,
- Access : Get Settlement Account Superpay Bot,
- Access : Edit Settlement Account Superpay Bot,
- Access : Add Payment Config Bitpay Api,
- Access : Edit Payment Config Bitpay Api,
- Access : Add Payment Config Mtpay Api,
- Access : Edit Payment Config Mtpay Api,
- Access : Add Payment Config Kissvip Api,
- Access : Edit Payment Config Kissvip Api,
- Access : Add Payment Config Smilepay Api,
- Access : Edit Payment Config Smilepay Api,
- Access : Add Payment Config Twosecpay Api,
- Access : Edit Payment Config Twosecpay Api,
- Access : Find Payment Config Verify,
- Access : Get Payment Config Verify,
- Access : Create Payment Config Api Face Verify,
- Access : Remove Payment Config Api Face Verify,
- Access : Add Payment Config Corepay Api,
- Access : Edit Payment Config Corepay Api,
- Access : Add Payment Config Luckypay Api,
- Access : Edit Payment Config Luckypay Api,
- Menu : Deposit,
- Access : View Deposit Transaction,
- Access : Details Deposit Transaction,
- Access : Reject/approve Deposit Transaction,
- Access : Search Deposit Transaction,
- Access : Get Promotion In Details Deposit,
- Access : Count Deposit Withdraw,
- Menu : Auto Bank Deposit,
- Access : Search Deposit Auto Skip,
- Access : Search Deposit Auto Verify,
- Access : Get Deposit Auto Verify,
- Access : Search Deposit Auto Waiting,
- Access : Find Deposit Auto,
- Access : Find Deposit Auto Search,
- Access : Find Deposit Auto Wating User,
- Access : Create Deposit Auto Wating User Deposit,
- Access : Delete Deposit Auto,
- Access : View Deposit Auto Payment Overview,
- Menu : Truewallet Deposit,
- Access : View Deposit Truewallet Transaction,
- Access : Search Deposit Truewallet Transaction,
- Access : View Deposit Truewallet Waiting,
- Access : Get Deposit Truewallet Waiting,
- Access : Delete Verify,
- Access : Delete Verify Truewallet,
- Access : Search Deposit Truewallet Waiting,
- Access : Search User Deposit Truewallet Verify,
- Access : User Create Deposit Truewallet Verify,
- Access : View Deposit Truewallet Transaction Verify,
- Access : Detail Deposit Truewallet Transaction Verify,
- Access : Search Deposit Truewallet Transaction Verify,
- Access : Remove Deposit Truewallet Transaction Verify,
- Access : View Deposit Truewallet Payment Overview,
- Menu : All Deposit,TRUE
- Access : Find All Transaction Deposit,TRUE
- Access : Get Transaction All Deposit,TRUE
- Access : Find All Transaction Adjust Deposit,
- Access : Export Deposit Adjust Transaction,
- Access : View Deposit All Payment Overview,
- Menu : Gateway Deposit,
- Access : Find Deposit Gateway,
- Access : Search Deposit Gateway Waiting,
- Access : Find Deposit Gateway Wating User,
- Access : Create Deposit Gateway Wating User Deposit,
- Access : Search Deposit Gateway Skip,
- Access : Search Deposit Gateway Verify,
- Access : Get Deposit Gateway Verify,
- Access : Delete Deposit Gateway,
- Access : View Deposit Gateway Payment Overview,
- Menu : Withdraw,TRUE
- Access : Upload Slip For Withdraw,
- Access : Upload Slip For Withdraw,
- Access : Search Withdraw Waiting,TRUE
- Access : View Withdraw Waiting,TRUE
- Access : Get Details Withdraw Waiting,TRUE
- Access : Edit Withdraw Waiting,
- Access : Search Withdraw Approve,TRUE
- Access : View Withdraw Approve,TRUE
- Access : Edit Withdraw Approve,TRUE
- Access : Get Details Withdraw Approve,TRUE
- Access : Search Withdraw History,TRUE
- Access : View Withdraw History,TRUE
- Access : Get Details Withdraw History,TRUE
- Access : Search Withdraw Settlement,
- Access : View Withdraw Settlement,
- Access : Get Detail Withdraw Settlement,
- Access : Create Withdraw Settlement,
- Access : Edit Withdraw Settlement,
- Access : View Withdraw Settlement,
- Access : Search Withdraw Settlement Transaction,
- Access : View Withdraw Settlement Transaction,
- Access : Get Details Withdraw Settlement Transaction,
- Access : Create Withdraw Settlement Transaction,
- Access : View Withdraw Config,
- Access : Edit Withdraw Config,
- Access : Edit Settlement Account Scb Bot,
- Access : Request Otp Settlement Account Scb Bot,
- Access : Conirm Otp Settlement Account Scb Bot,
- Access : Get Settlement Account Scb Bot,
- Access : Edit Settlement Account Kkp Bot,
- Access : Get Settlement Account Kkp Bot,
- Access : Request Otp Settlement Account Kkp Bot,
- Access : Conirm Otp Settlement Account Kkp Bot,
- Access : Get Settlement Account Kbank Bot,
- Access : Edit Settlement Account Kbank Bot,
- Access : Get Settlement Account Vizpay Bot,
- Access : Edit Settlement Account Vizpay Bot,
- Access : Get Settlement Account Mandiri Bot,
- Access : Edit Settlement Account Mandiri Bot,
- Access : Get Settlement Account Genkinpay Bot,
- Access : Edit Settlement Account Mandiri Bot Sync,
- Access : Edit Settlement Account Genkinpay Bot,
- Access : Get Settlement Account Copopay Bot,
- Access : Get Settlement Account Direpay Bot,
- Access : Get Settlement Account Hengpay Bot,
- Access : Get Settlement Account Lnwpay Bot,
- Access : Get Settlement Account Powerpay88 Bot,
- Access : Get Settlement Account S88pay Bot,
- Access : Get Settlement Account Sunnypay Bot,
- Access : Get Settlement Account Vipay Bot,
- Access : Edit Settlement Account Copopay Bot,
- Access : Edit Settlement Account Direpay Bot,
- Access : Edit Settlement Account Hengpay Bot,
- Access : Edit Settlement Account Lnwpay Bot,
- Access : Edit Settlement Account Powerpay88 Bot,
- Access : Edit Settlement Account S88pay Bot,
- Access : Edit Settlement Account Sunnypay Bot,
- Access : Edit Settlement Account Vipay Bot,
- Access : Get Settlement Account Jokpay Bot,
- Access : Edit Settlement Account Jokpay Bot,
- Access : Get Settlement Account Wealthpay Bot,
- Access : Edit Settlement Account Wealthpay Bot,
- Access : Get Settlement Account Gsb Bot,
- Access : Edit Settlement Account Gsb Bot,
- Access : Request Otp Settlement Account Gsb Bot,
- Access : Conirm Otp Settlement Account Gsb Bot,
- Access : Verify Face Settlement Account Gsb Bot,
- Access : Get Settlement Account Capitalpay Bot,
- Access : Edit Settlement Account Capitalpay Bot,
